date,sales,promo,day_of_week,month,is_weekend
2022-03-01,93,0,1,3,0
2022-03-02,84,0,2,3,0
2022-03-03,103,0,3,3,0
2022-03-04,109,0,4,3,0
2022-03-05,137,0,5,3,1
2022-03-06,108,0,6,3,1
2022-03-07,121,0,0,3,0
2022-03-08,111,0,1,3,0
2022-03-09,99,0,2,3,0
2022-03-10,97,0,3,3,0
2022-03-11,104,0,4,3,0
2022-03-12,185,1,5,3,1
2022-03-13,180,1,6,3,1
2022-03-14,164,1,0,3,0
2022-03-15,98,0,1,3,0
2022-03-16,112,0,2,3,0
2022-03-17,102,0,3,3,0
2022-03-18,109,0,4,3,0
2022-03-19,135,0,5,3,1
2022-03-20,111,0,6,3,1
2022-03-21,105,0,0,3,0
2022-03-22,103,0,1,3,0
2022-03-23,91,0,2,3,0
2022-03-24,89,0,3,3,0
2022-03-25,121,0,4,3,0
2022-03-26,136,0,5,3,1
2022-03-27,127,0,6,3,1
2022-03-28,178,1,0,3,0
2022-03-29,168,1,1,3,0
2022-03-30,235,1,2,3,0
2022-03-31,168,1,3,3,0
2022-04-01,173,1,4,4,0
2022-04-02,122,0,5,4,1
2022-04-03,123,0,6,4,1
2022-04-04,104,0,0,4,0
2022-04-05,117,0,1,4,0
2022-04-06,113,0,2,4,0
2022-04-07,170,1,3,4,0
2022-04-08,184,1,4,4,0
2022-04-09,197,1,5,4,1
2022-04-10,132,0,6,4,1
2022-04-11,96,0,0,4,0
2022-04-12,117,0,1,4,0
2022-04-13,105,0,2,4,0
2022-04-14,118,0,3,4,0
2022-04-15,129,0,4,4,0
2022-04-16,129,0,5,4,1
2022-04-17,139,0,6,4,1
2022-04-18,107,0,0,4,0
2022-04-19,107,0,1,4,0
2022-04-20,112,0,2,4,0
2022-04-21,113,0,3,4,0
2022-04-22,121,0,4,4,0
2022-04-23,125,0,5,4,1
2022-04-24,132,0,6,4,1
2022-04-25,130,0,0,4,0
2022-04-26,90,0,1,4,0
2022-04-27,119,0,2,4,0
2022-04-28,121,0,3,4,0
2022-04-29,112,0,4,4,0
2022-04-30,134,0,5,4,1
2022-05-01,127,0,6,5,1
2022-05-02,128,0,0,5,0
2022-05-03,122,0,1,5,0
2022-05-04,123,0,2,5,0
2022-05-05,115,0,3,5,0
2022-05-06,135,0,4,5,0
2022-05-07,139,0,5,5,1
2022-05-08,147,0,6,5,1
2022-05-09,114,0,0,5,0
2022-05-10,109,0,1,5,0
2022-05-11,130,0,2,5,0
2022-05-12,115,0,3,5,0
2022-05-13,118,0,4,5,0
2022-05-14,133,0,5,5,1
2022-05-15,131,0,6,5,1
2022-05-16,123,0,0,5,0
2022-05-17,115,0,1,5,0
2022-05-18,135,0,2,5,0
2022-05-19,126,0,3,5,0
2022-05-20,189,1,4,5,0
2022-05-21,213,1,5,5,1
2022-05-22,195,1,6,5,1
2022-05-23,102,0,0,5,0
2022-05-24,109,0,1,5,0
2022-05-25,119,0,2,5,0
2022-05-26,116,0,3,5,0
2022-05-27,134,0,4,5,0
2022-05-28,142,0,5,5,1
2022-05-29,146,0,6,5,1
2022-05-30,130,0,0,5,0
2022-05-31,117,0,1,5,0
2022-06-01,123,0,2,6,0
2022-06-02,104,0,3,6,0
2022-06-03,128,0,4,6,0
2022-06-04,134,0,5,6,1
2022-06-05,142,0,6,6,1
2022-06-06,121,0,0,6,0
2022-06-07,121,0,1,6,0
2022-06-08,175,1,2,6,0
2022-06-09,197,1,3,6,0
2022-06-10,179,1,4,6,0
2022-06-11,134,0,5,6,1
2022-06-12,155,0,6,6,1
2022-06-13,114,0,0,6,0
2022-06-14,112,0,1,6,0
2022-06-15,138,0,2,6,0
2022-06-16,127,0,3,6,0
2022-06-17,125,0,4,6,0
2022-06-18,146,0,5,6,1
2022-06-19,157,0,6,6,1
2022-06-20,125,0,0,6,0
2022-06-21,130,0,1,6,0
2022-06-22,126,0,2,6,0
2022-06-23,127,0,3,6,0
2022-06-24,130,0,4,6,0
2022-06-25,145,0,5,6,1
2022-06-26,144,0,6,6,1
2022-06-27,126,0,0,6,0
2022-06-28,117,0,1,6,0
2022-06-29,121,0,2,6,0
2022-06-30,117,0,3,6,0
2022-07-01,131,0,4,7,0
2022-07-02,135,0,5,7,1
2022-07-03,163,0,6,7,1
2022-07-04,164,0,0,7,0
2022-07-05,117,0,1,7,0
2022-07-06,113,0,2,7,0
2022-07-07,124,0,3,7,0
2022-07-08,128,0,4,7,0
2022-07-09,137,0,5,7,1
2022-07-10,147,0,6,7,1
2022-07-11,126,0,0,7,0
2022-07-12,119,0,1,7,0
2022-07-13,114,0,2,7,0
2022-07-14,137,0,3,7,0
2022-07-15,132,0,4,7,0
2022-07-16,134,0,5,7,1
2022-07-17,152,0,6,7,1
2022-07-18,112,0,0,7,0
2022-07-19,201,1,1,7,0
2022-07-20,179,1,2,7,0
2022-07-21,187,1,3,7,0
2022-07-22,112,0,4,7,0
2022-07-23,133,0,5,7,1
2022-07-24,151,0,6,7,1
2022-07-25,121,0,0,7,0
2022-07-26,134,0,1,7,0
2022-07-27,122,0,2,7,0
2022-07-28,179,1,3,7,0
2022-07-29,201,1,4,7,0
2022-07-30,210,1,5,7,1
2022-07-31,138,0,6,7,1
2022-08-01,108,0,0,8,0
2022-08-02,98,0,1,8,0
2022-08-03,113,0,2,8,0
2022-08-04,107,0,3,8,0
2022-08-05,147,0,4,8,0
2022-08-06,136,0,5,8,1
2022-08-07,133,0,6,8,1
2022-08-08,104,0,0,8,0
2022-08-09,114,0,1,8,0
2022-08-10,110,0,2,8,0
2022-08-11,129,0,3,8,0
2022-08-12,127,0,4,8,0
2022-08-13,140,0,5,8,1
2022-08-14,136,0,6,8,1
2022-08-15,121,0,0,8,0
2022-08-16,111,0,1,8,0
2022-08-17,120,0,2,8,0
2022-08-18,127,0,3,8,0
2022-08-19,128,0,4,8,0
2022-08-20,137,0,5,8,1
2022-08-21,128,0,6,8,1
2022-08-22,111,0,0,8,0
2022-08-23,118,0,1,8,0
2022-08-24,101,0,2,8,0
2022-08-25,119,0,3,8,0
2022-08-26,124,0,4,8,0
2022-08-27,136,0,5,8,1
2022-08-28,129,0,6,8,1
2022-08-29,108,0,0,8,0
2022-08-30,117,0,1,8,0
2022-08-31,111,0,2,8,0
2022-09-01,107,0,3,9,0
2022-09-02,125,0,4,9,0
2022-09-03,140,0,5,9,1
2022-09-04,123,0,6,9,1
2022-09-05,115,0,0,9,0
2022-09-06,130,0,1,9,0
2022-09-07,114,0,2,9,0
2022-09-08,96,0,3,9,0
2022-09-09,121,0,4,9,0
2022-09-10,120,0,5,9,1
2022-09-11,156,0,6,9,1
2022-09-12,127,0,0,9,0
2022-09-13,103,0,1,9,0
2022-09-14,90,0,2,9,0
2022-09-15,101,0,3,9,0
2022-09-16,117,0,4,9,0
2022-09-17,119,0,5,9,1
2022-09-18,129,0,6,9,1
2022-09-19,106,0,0,9,0
2022-09-20,108,0,1,9,0
2022-09-21,109,0,2,9,0
2022-09-22,99,0,3,9,0
2022-09-23,110,0,4,9,0
2022-09-24,131,0,5,9,1
2022-09-25,123,0,6,9,1
2022-09-26,113,0,0,9,0
2022-09-27,106,0,1,9,0
2022-09-28,120,0,2,9,0
2022-09-29,112,0,3,9,0
2022-09-30,124,0,4,9,0
2022-10-01,131,0,5,10,1
2022-10-02,128,0,6,10,1
2022-10-03,118,0,0,10,0
2022-10-04,101,0,1,10,0
2022-10-05,108,0,2,10,0
2022-10-06,101,0,3,10,0
2022-10-07,111,0,4,10,0
2022-10-08,119,0,5,10,1
2022-10-09,119,0,6,10,1
2022-10-10,95,0,0,10,0
2022-10-11,107,0,1,10,0
2022-10-12,110,0,2,10,0
2022-10-13,101,0,3,10,0
2022-10-14,174,1,4,10,0
2022-10-15,185,1,5,10,1
2022-10-16,177,1,6,10,1
2022-10-17,108,0,0,10,0
2022-10-18,106,0,1,10,0
2022-10-19,86,0,2,10,0
2022-10-20,98,0,3,10,0
2022-10-21,103,0,4,10,0
2022-10-22,122,0,5,10,1
2022-10-23,117,0,6,10,1
2022-10-24,99,0,0,10,0
2022-10-25,97,0,1,10,0
2022-10-26,97,0,2,10,0
2022-10-27,108,0,3,10,0
2022-10-28,113,0,4,10,0
2022-10-29,118,0,5,10,1
2022-10-30,116,0,6,10,1
2022-10-31,102,0,0,10,0
2022-11-01,127,0,1,11,0
2022-11-02,118,0,2,11,0
2022-11-03,121,0,3,11,0
2022-11-04,148,0,4,11,0
2022-11-05,143,0,5,11,1
2022-11-06,160,0,6,11,1
2022-11-07,131,0,0,11,0
2022-11-08,136,0,1,11,0
2022-11-09,117,0,2,11,0
2022-11-10,121,0,3,11,0
2022-11-11,128,0,4,11,0
2022-11-12,156,0,5,11,1
2022-11-13,139,0,6,11,1
2022-11-14,127,0,0,11,0
2022-11-15,187,1,1,11,0
2022-11-16,181,1,2,11,0
2022-11-17,191,1,3,11,0
2022-11-18,132,0,4,11,0
2022-11-19,153,0,5,11,1
2022-11-20,139,0,6,11,1
2022-11-21,115,0,0,11,0
2022-11-22,126,0,1,11,0
2022-11-23,124,0,2,11,0
2022-11-24,122,0,3,11,0
2022-11-25,208,0,4,11,0
2022-11-26,158,0,5,11,1
2022-11-27,133,0,6,11,1
2022-11-28,111,0,0,11,0
2022-11-29,128,0,1,11,0
2022-11-30,127,0,2,11,0
2022-12-01,143,0,3,12,0
2022-12-02,148,0,4,12,0
2022-12-03,169,0,5,12,1
2022-12-04,176,0,6,12,1
2022-12-05,160,0,0,12,0
2022-12-06,126,0,1,12,0
2022-12-07,136,0,2,12,0
2022-12-08,136,0,3,12,0
2022-12-09,163,0,4,12,0
2022-12-10,145,0,5,12,1
2022-12-11,166,0,6,12,1
2022-12-12,138,0,0,12,0
2022-12-13,153,0,1,12,0
2022-12-14,152,0,2,12,0
2022-12-15,143,0,3,12,0
2022-12-16,137,0,4,12,0
2022-12-17,160,0,5,12,1
2022-12-18,158,0,6,12,1
2022-12-19,129,0,0,12,0
2022-12-20,149,0,1,12,0
2022-12-21,128,0,2,12,0
2022-12-22,155,0,3,12,0
2022-12-23,225,0,4,12,0
2022-12-24,162,0,5,12,1
2022-12-25,164,0,6,12,1
2022-12-26,139,0,0,12,0
2022-12-27,147,0,1,12,0
2022-12-28,150,0,2,12,0
2022-12-29,142,0,3,12,0
2022-12-30,154,0,4,12,0
2022-12-31,160,0,5,12,1
2023-01-01,121,0,6,1,1
2023-01-02,97,0,0,1,0
2023-01-03,88,0,1,1,0
2023-01-04,95,0,2,1,0
2023-01-05,93,0,3,1,0
2023-01-06,101,0,4,1,0
2023-01-07,112,0,5,1,1
2023-01-08,119,0,6,1,1
2023-01-09,90,0,0,1,0
2023-01-10,92,0,1,1,0
2023-01-11,105,0,2,1,0
2023-01-12,102,0,3,1,0
2023-01-13,99,0,4,1,0
2023-01-14,125,0,5,1,1
2023-01-15,120,0,6,1,1
2023-01-16,111,0,0,1,0
2023-01-17,108,0,1,1,0
2023-01-18,85,0,2,1,0
2023-01-19,104,0,3,1,0
2023-01-20,118,0,4,1,0
2023-01-21,127,0,5,1,1
2023-01-22,117,0,6,1,1
2023-01-23,117,0,0,1,0
2023-01-24,164,1,1,1,0
2023-01-25,174,1,2,1,0
2023-01-26,169,1,3,1,0
2023-01-27,113,0,4,1,0
2023-01-28,119,0,5,1,1
2023-01-29,121,0,6,1,1
2023-01-30,98,0,0,1,0
2023-01-31,90,0,1,1,0
2023-02-01,105,0,2,2,0
2023-02-02,113,0,3,2,0
2023-02-03,108,0,4,2,0
2023-02-04,143,0,5,2,1
2023-02-05,110,0,6,2,1
2023-02-06,109,0,0,2,0
2023-02-07,114,0,1,2,0
2023-02-08,100,0,2,2,0
2023-02-09,100,0,3,2,0
2023-02-10,120,0,4,2,0
2023-02-11,131,0,5,2,1
2023-02-12,108,0,6,2,1
2023-02-13,96,0,0,2,0
2023-02-14,103,0,1,2,0
2023-02-15,92,0,2,2,0
2023-02-16,99,0,3,2,0
2023-02-17,103,0,4,2,0
2023-02-18,126,0,5,2,1
2023-02-19,123,0,6,2,1
2023-02-20,107,0,0,2,0
2023-02-21,104,0,1,2,0
2023-02-22,109,0,2,2,0
2023-02-23,108,0,3,2,0
2023-02-24,123,0,4,2,0
2023-02-25,197,1,5,2,1
2023-02-26,194,1,6,2,1
2023-02-27,191,1,0,2,0
2023-02-28,109,0,1,2,0
2023-03-01,127,0,2,3,0
2023-03-02,110,0,3,3,0
2023-03-03,116,0,4,3,0
2023-03-04,129,0,5,3,1
2023-03-05,142,0,6,3,1
2023-03-06,121,0,0,3,0
2023-03-07,113,0,1,3,0
2023-03-08,118,0,2,3,0
2023-03-09,99,0,3,3,0
2023-03-10,107,0,4,3,0
2023-03-11,144,0,5,3,1
2023-03-12,131,0,6,3,1
2023-03-13,116,0,0,3,0
2023-03-14,104,0,1,3,0
2023-03-15,124,0,2,3,0
2023-03-16,98,0,3,3,0
2023-03-17,170,1,4,3,0
2023-03-18,208,1,5,3,1
2023-03-19,173,1,6,3,1
2023-03-20,115,0,0,3,0
2023-03-21,111,0,1,3,0
2023-03-22,107,0,2,3,0
2023-03-23,111,0,3,3,0
2023-03-24,116,0,4,3,0
2023-03-25,151,0,5,3,1
2023-03-26,150,0,6,3,1
2023-03-27,108,0,0,3,0
2023-03-28,116,0,1,3,0
2023-03-29,104,0,2,3,0
2023-03-30,123,0,3,3,0
2023-03-31,133,0,4,3,0
2023-04-01,138,0,5,4,1
2023-04-02,138,0,6,4,1
2023-04-03,115,0,0,4,0
2023-04-04,103,0,1,4,0
2023-04-05,129,0,2,4,0
2023-04-06,111,0,3,4,0
2023-04-07,121,0,4,4,0
2023-04-08,141,0,5,4,1
2023-04-09,147,0,6,4,1
2023-04-10,113,0,0,4,0
2023-04-11,102,0,1,4,0
2023-04-12,111,0,2,4,0
2023-04-13,122,0,3,4,0
2023-04-14,146,0,4,4,0
2023-04-15,134,0,5,4,1
2023-04-16,131,0,6,4,1
2023-04-17,108,0,0,4,0
2023-04-18,107,0,1,4,0
2023-04-19,130,0,2,4,0
2023-04-20,132,0,3,4,0
2023-04-21,132,0,4,4,0
2023-04-22,142,0,5,4,1
2023-04-23,157,0,6,4,1
2023-04-24,123,0,0,4,0
2023-04-25,130,0,1,4,0
2023-04-26,118,0,2,4,0
2023-04-27,122,0,3,4,0
2023-04-28,182,1,4,4,0
2023-04-29,213,1,5,4,1
2023-04-30,206,1,6,4,1
2023-05-01,116,0,0,5,0
2023-05-02,116,0,1,5,0
2023-05-03,136,0,2,5,0
2023-05-04,139,0,3,5,0
2023-05-05,132,0,4,5,0
2023-05-06,150,0,5,5,1
2023-05-07,150,0,6,5,1
2023-05-08,126,0,0,5,0
2023-05-09,111,0,1,5,0
2023-05-10,128,0,2,5,0
2023-05-11,108,0,3,5,0
2023-05-12,129,0,4,5,0
2023-05-13,155,0,5,5,1
2023-05-14,152,0,6,5,1
2023-05-15,119,0,0,5,0
2023-05-16,122,0,1,5,0
2023-05-17,121,0,2,5,0
2023-05-18,126,0,3,5,0
2023-05-19,136,0,4,5,0
2023-05-20,157,0,5,5,1
2023-05-21,145,0,6,5,1
2023-05-22,130,0,0,5,0
2023-05-23,131,0,1,5,0
2023-05-24,129,0,2,5,0
2023-05-25,125,0,3,5,0
2023-05-26,139,0,4,5,0
2023-05-27,159,0,5,5,1
2023-05-28,157,0,6,5,1
2023-05-29,142,0,0,5,0
2023-05-30,120,0,1,5,0
2023-05-31,125,0,2,5,0
2023-06-01,115,0,3,6,0
2023-06-02,146,0,4,6,0
2023-06-03,211,1,5,6,1
2023-06-04,212,1,6,6,1
2023-06-05,184,1,0,6,0
2023-06-06,126,0,1,6,0
2023-06-07,139,0,2,6,0
2023-06-08,135,0,3,6,0
2023-06-09,138,0,4,6,0
2023-06-10,160,0,5,6,1
2023-06-11,158,0,6,6,1
2023-06-12,126,0,0,6,0
2023-06-13,118,0,1,6,0
2023-06-14,122,0,2,6,0
2023-06-15,119,0,3,6,0
2023-06-16,149,0,4,6,0
2023-06-17,165,0,5,6,1
2023-06-18,164,0,6,6,1
2023-06-19,113,0,0,6,0
2023-06-20,138,0,1,6,0
2023-06-21,147,0,2,6,0
2023-06-22,139,0,3,6,0
2023-06-23,123,0,4,6,0
2023-06-24,169,0,5,6,1
2023-06-25,152,0,6,6,1
2023-06-26,128,0,0,6,0
2023-06-27,133,0,1,6,0
2023-06-28,121,0,2,6,0
2023-06-29,130,0,3,6,0
2023-06-30,153,0,4,6,0
2023-07-01,160,0,5,7,1
2023-07-02,152,0,6,7,1
2023-07-03,130,0,0,7,0
2023-07-04,175,0,1,7,0
2023-07-05,128,0,2,7,0
2023-07-06,116,0,3,7,0
2023-07-07,148,0,4,7,0
2023-07-08,137,0,5,7,1
2023-07-09,158,0,6,7,1
2023-07-10,137,0,0,7,0
2023-07-11,140,0,1,7,0
2023-07-12,130,0,2,7,0
2023-07-13,136,0,3,7,0
2023-07-14,138,0,4,7,0
2023-07-15,145,0,5,7,1
2023-07-16,163,0,6,7,1
2023-07-17,128,0,0,7,0
2023-07-18,117,0,1,7,0
2023-07-19,125,0,2,7,0
2023-07-20,125,0,3,7,0
2023-07-21,202,1,4,7,0
2023-07-22,232,1,5,7,1
2023-07-23,214,1,6,7,1
2023-07-24,130,0,0,7,0
2023-07-25,148,0,1,7,0
2023-07-26,136,0,2,7,0
2023-07-27,130,0,3,7,0
2023-07-28,134,0,4,7,0
2023-07-29,155,0,5,7,1
2023-07-30,149,0,6,7,1
2023-07-31,128,0,0,7,0
2023-08-01,138,0,1,8,0
2023-08-02,123,0,2,8,0
2023-08-03,131,0,3,8,0
2023-08-04,144,0,4,8,0
2023-08-05,146,0,5,8,1
2023-08-06,142,0,6,8,1
2023-08-07,125,0,0,8,0
2023-08-08,122,0,1,8,0
2023-08-09,135,0,2,8,0
2023-08-10,118,0,3,8,0
2023-08-11,136,0,4,8,0
2023-08-12,171,0,5,8,1
2023-08-13,150,0,6,8,1
2023-08-14,130,0,0,8,0
2023-08-15,134,0,1,8,0
2023-08-16,121,0,2,8,0
2023-08-17,116,0,3,8,0
2023-08-18,136,0,4,8,0
2023-08-19,151,0,5,8,1
2023-08-20,133,0,6,8,1
2023-08-21,127,0,0,8,0
2023-08-22,192,1,1,8,0
2023-08-23,176,1,2,8,0
2023-08-24,187,1,3,8,0
2023-08-25,140,0,4,8,0
2023-08-26,152,0,5,8,1
2023-08-27,150,0,6,8,1
2023-08-28,120,0,0,8,0
2023-08-29,113,0,1,8,0
2023-08-30,118,0,2,8,0
2023-08-31,117,0,3,8,0
2023-09-01,131,0,4,9,0
2023-09-02,155,0,5,9,1
2023-09-03,132,0,6,9,1
2023-09-04,122,0,0,9,0
2023-09-05,112,0,1,9,0
2023-09-06,114,0,2,9,0
2023-09-07,124,0,3,9,0
2023-09-08,120,0,4,9,0
2023-09-09,150,0,5,9,1
2023-09-10,131,0,6,9,1
2023-09-11,124,0,0,9,0
2023-09-12,106,0,1,9,0
2023-09-13,114,0,2,9,0
2023-09-14,134,0,3,9,0
2023-09-15,142,0,4,9,0
2023-09-16,140,0,5,9,1
2023-09-17,143,0,6,9,1
2023-09-18,127,0,0,9,0
2023-09-19,123,0,1,9,0
2023-09-20,115,0,2,9,0
2023-09-21,111,0,3,9,0
2023-09-22,134,0,4,9,0
2023-09-23,150,0,5,9,1
2023-09-24,152,0,6,9,1
2023-09-25,102,0,0,9,0
2023-09-26,106,0,1,9,0
2023-09-27,125,0,2,9,0
2023-09-28,103,0,3,9,0
2023-09-29,135,0,4,9,0
2023-09-30,138,0,5,9,1
2023-10-01,132,0,6,10,1
2023-10-02,116,0,0,10,0
2023-10-03,103,0,1,10,0
2023-10-04,120,0,2,10,0
2023-10-05,127,0,3,10,0
2023-10-06,130,0,4,10,0
2023-10-07,136,0,5,10,1
2023-10-08,123,0,6,10,1
2023-10-09,101,0,0,10,0
2023-10-10,102,0,1,10,0
2023-10-11,112,0,2,10,0
2023-10-12,113,0,3,10,0
2023-10-13,129,0,4,10,0
2023-10-14,122,0,5,10,1
2023-10-15,204,1,6,10,1
2023-10-16,177,1,0,10,0
2023-10-17,168,1,1,10,0
2023-10-18,101,0,2,10,0
2023-10-19,121,0,3,10,0
2023-10-20,118,0,4,10,0
2023-10-21,135,0,5,10,1
2023-10-22,135,0,6,10,1
2023-10-23,103,0,0,10,0
2023-10-24,107,0,1,10,0
2023-10-25,116,0,2,10,0
2023-10-26,115,0,3,10,0
2023-10-27,125,0,4,10,0
2023-10-28,125,0,5,10,1
2023-10-29,129,0,6,10,1
2023-10-30,105,0,0,10,0
2023-10-31,112,0,1,10,0
2023-11-01,136,0,2,11,0
2023-11-02,134,0,3,11,0
2023-11-03,163,0,4,11,0
2023-11-04,156,0,5,11,1
2023-11-05,151,0,6,11,1
2023-11-06,123,0,0,11,0
2023-11-07,120,0,1,11,0
2023-11-08,122,0,2,11,0
2023-11-09,126,0,3,11,0
2023-11-10,152,0,4,11,0
2023-11-11,157,0,5,11,1
2023-11-12,155,0,6,11,1
2023-11-13,131,0,0,11,0
2023-11-14,134,0,1,11,0
2023-11-15,143,0,2,11,0
2023-11-16,115,0,3,11,0
2023-11-17,151,0,4,11,0
2023-11-18,136,0,5,11,1
2023-11-19,153,0,6,11,1
2023-11-20,148,0,0,11,0
2023-11-21,136,0,1,11,0
2023-11-22,134,0,2,11,0
2023-11-23,147,0,3,11,0
2023-11-24,225,0,4,11,0
2023-11-25,159,0,5,11,1
2023-11-26,157,0,6,11,1
2023-11-27,126,0,0,11,0
2023-11-28,127,0,1,11,0
2023-11-29,126,0,2,11,0
2023-11-30,131,0,3,11,0
2023-12-01,164,0,4,12,0
2023-12-02,176,0,5,12,1
2023-12-03,178,0,6,12,1
2023-12-04,134,0,0,12,0
2023-12-05,148,0,1,12,0
2023-12-06,142,0,2,12,0
2023-12-07,152,0,3,12,0
2023-12-08,162,0,4,12,0
2023-12-09,174,0,5,12,1
2023-12-10,176,0,6,12,1
2023-12-11,158,0,0,12,0
2023-12-12,149,0,1,12,0
2023-12-13,201,1,2,12,0
2023-12-14,197,1,3,12,0
2023-12-15,220,1,4,12,0
2023-12-16,237,1,5,12,1
2023-12-17,224,1,6,12,1
2023-12-18,215,1,0,12,0
2023-12-19,146,0,1,12,0
2023-12-20,136,0,2,12,0
2023-12-21,160,0,3,12,0
2023-12-22,169,0,4,12,0
2023-12-23,224,0,5,12,1
2023-12-24,167,0,6,12,1
2023-12-25,145,0,0,12,0
2023-12-26,163,0,1,12,0
2023-12-27,149,0,2,12,0
2023-12-28,138,0,3,12,0
2023-12-29,167,0,4,12,0
2023-12-30,165,0,5,12,1
2023-12-31,170,0,6,12,1
2024-01-01,99,0,0,1,0
2024-01-02,161,1,1,1,0
2024-01-03,173,1,2,1,0
2024-01-04,178,1,3,1,0
2024-01-05,105,0,4,1,0
2024-01-06,136,0,5,1,1
2024-01-07,122,0,6,1,1
2024-01-08,100,0,0,1,0
2024-01-09,110,0,1,1,0
2024-01-10,98,0,2,1,0
2024-01-11,110,0,3,1,0
2024-01-12,122,0,4,1,0
2024-01-13,128,0,5,1,1
2024-01-14,139,0,6,1,1
2024-01-15,97,0,0,1,0
2024-01-16,118,0,1,1,0
2024-01-17,92,0,2,1,0
2024-01-18,129,0,3,1,0
2024-01-19,114,0,4,1,0
2024-01-20,123,0,5,1,1
2024-01-21,128,0,6,1,1
2024-01-22,100,0,0,1,0
2024-01-23,111,0,1,1,0
2024-01-24,119,0,2,1,0
2024-01-25,101,0,3,1,0
2024-01-26,123,0,4,1,0
2024-01-27,122,0,5,1,1
2024-01-28,139,0,6,1,1
2024-01-29,113,0,0,1,0
2024-01-30,118,0,1,1,0
2024-01-31,109,0,2,1,0
2024-02-01,106,0,3,2,0
2024-02-02,127,0,4,2,0
2024-02-03,125,0,5,2,1
2024-02-04,118,0,6,2,1
2024-02-05,111,0,0,2,0
2024-02-06,108,0,1,2,0
2024-02-07,116,0,2,2,0
2024-02-08,120,0,3,2,0
2024-02-09,126,0,4,2,0
2024-02-10,145,0,5,2,1
2024-02-11,137,0,6,2,1
2024-02-12,116,0,0,2,0
2024-02-13,112,0,1,2,0
2024-02-14,116,0,2,2,0
2024-02-15,114,0,3,2,0
2024-02-16,126,0,4,2,0
2024-02-17,137,0,5,2,1
2024-02-18,142,0,6,2,1
2024-02-19,108,0,0,2,0
2024-02-20,114,0,1,2,0
2024-02-21,125,0,2,2,0
2024-02-22,107,0,3,2,0
2024-02-23,108,0,4,2,0
2024-02-24,143,0,5,2,1
2024-02-25,135,0,6,2,1
2024-02-26,124,0,0,2,0
2024-02-27,115,0,1,2,0
2024-02-28,111,0,2,2,0
2024-02-29,116,0,3,2,0
2024-03-01,136,0,4,3,0
2024-03-02,147,0,5,3,1
2024-03-03,120,0,6,3,1
2024-03-04,119,0,0,3,0
2024-03-05,120,0,1,3,0
2024-03-06,118,0,2,3,0
2024-03-07,114,0,3,3,0
2024-03-08,138,0,4,3,0
2024-03-09,154,0,5,3,1
2024-03-10,124,0,6,3,1
2024-03-11,113,0,0,3,0
2024-03-12,119,0,1,3,0
2024-03-13,128,0,2,3,0
2024-03-14,121,0,3,3,0
2024-03-15,125,0,4,3,0
2024-03-16,152,0,5,3,1
2024-03-17,142,0,6,3,1
2024-03-18,121,0,0,3,0
2024-03-19,122,0,1,3,0
2024-03-20,127,0,2,3,0
2024-03-21,180,1,3,3,0
2024-03-22,258,1,4,3,0
2024-03-23,267,1,5,3,1
2024-03-24,197,1,6,3,1
2024-03-25,123,0,0,3,0
2024-03-26,116,0,1,3,0
2024-03-27,124,0,2,3,0
2024-03-28,131,0,3,3,0
2024-03-29,126,0,4,3,0
2024-03-30,153,0,5,3,1
